StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PROLIFID_T1,FARRIGHTHCK_1,DOSPERT_T1_1,DOSPERT_T1_2,DOSPERT_T1_3,DOSPERT_T1_4,DOSPERT_T1_5,DOSPERT_T1_6,DOSPERT_T1_7,DOSPERT_T1_8,DOSPERT_T1_9,DOSPERT_T1_10,DOSPERT_T1_11,DOSPERT_T1_12,DOSPERT_T1_13,DOSPERT_T1_14,DOSPERT_T1_15,DOSPERT_T1_16,DOSPERT_T1_17,DOSPERT_T1_18,DOSPERT_T1_19,DOSPERT_T1_20,DOSPERT_T1_21,DOSPERT_T1_22,DOSPERT_T1_23,DOSPERT_T1_24,DOSPERT_T1_25,DOSPERT_T1_26,DOSPERT_T1_32,DOSPERT_T1_27,DOSPERT_T1_28,DOSPERT_T1_29,DOSPERT_T1_30,DOSPERT_T1_31,GRIPS_T1_1,GRIPS_T1_2,GRIPS_T1_3,GRIPS_T1_4,GRIPS_T1_5,GRIPS_T1_6,GRIPS_T1_7,GRIPS_T1_8,NEO_T1_1,NEO_T1_2,NEO_T1_3,NEO_T1_4,NEO_T1_5,NEO_T1_6,NEO_T1_7,NEO_T1_8,NEO_T1_9,NEO_T1_10,NEO_T1_11,NEO_T1_12,NEO_T1_13,NEO_T1_14,NEO_T1_15,NEO_T1_16,NEO_T1_17,NEO_T1_18,NEO_T1_19,NEO_T1_20,NEO_T1_21,NEO_T1_22,NEO_T1_23,NEO_T1_24,NEO_T1_25,NEO_T1_26,NEO_T1_27,NEO_T1_28,NEO_T1_29,NEO_T1_30,NEO_T1_31,NEO_T1_32,NEO_T1_33,NEO_T1_34,NEO_T1_35,NEO_T1_36,NEO_T1_37,NEO_T1_38,NEO_T1_39,NEO_T1_40,NEO_T1_41,NEO_T1_42,NEO_T1_43,NEO_T1_44,NEO_T1_45,NEO_T1_46,NEO_T1_47,NEO_T1_48,NEO_T1_49,NEO_T1_50,NEO_T1_51,NEO_T1_52,NEO_T1_53,NEO_T1_54,NEO_T1_55,NEO_T1_56,NEO_T1_57,NEO_T1_58,NEO_T1_59,NEO_T1_60,DARK_T1_1,DARK_T1_2,DARK_T1_3,DARK_T1_4,DARK_T1_5,DARK_T1_6,DARK_T1_7,DARK_T1_8,DARK_T1_9,DARK_T1_10,DARK_T1_11,DARK_T1_12,DARK_T1_13,DARK_T1_14,DARK_T1_15,DARK_T1_16,DARK_T1_17,DARK_T1_18,DARK_T1_19,DARK_T1_20,DARK_T1_21,DARK_T1_22,DARK_T1_23,DARK_T1_24,DARK_T1_25,DARK_T1_26,DARK_T1_27,DARK_T1_28,DARK_T1_29,DARK_T1_30,DARK_T1_31,DARK_T1_32,DARK_T1_33,DARK_T1_34,DARK_T1_35,DARK_T1_36,DARK_T1_37,DARK_T1_38,DARK_T1_39,DARK_T1_40,DARK_T1_41,DARK_T1_42,GENRISK_T1,SNS_T1_1,SNS_T1_2,SNS_T1_3,SNS_T1_4,JPIIPIP_T1_1,JPIIPIP_T1_2,JPIIPIP_T1_3,JPIIPIP_T1_4,JPIIPIP_T1_5,JPIIPIP_T1_6,JPIIPIP_T1_7,JPIIPIP_T1_8,JPIIPIP_T1_9,JPIIPIP_T1_10,AGE,RACE,RACE_6_TEXT,SEX,EDU,EMPLOY,WORK,INCOME
4/16/2019 13:29,4/16/2019 13:41,0,66.24.200.210,100,666,1,4/16/2019 13:41,R_2YWexKhuQZdsp4Y,,,,,43.16610718,-77.55549622,anonymous,EN,5c3a264374d1c6000138ddaf,,6,7,1,6,1,2,6,1,1,1,1,2,6,1,1,2,1,1,6,7,2,5,6,6,6,5,7,5,7,3,1,1,2,1,1,1,1,1,2,1,3,3,4,4,4,3,2,1,2,4,4,3,3,4,2,4,5,5,5,4,3,3,3,4,1,1,4,1,2,3,4,2,1,1,4,5,4,4,1,1,3,4,3,2,3,4,4,4,4,5,5,1,4,2,5,5,5,3,3,2,4,3,2,1,5,4,2,3,1,2,1,1,5,4,1,2,1,2,2,3,3,3,2,4,1,2,1,1,4,3,1,1,3,4,1,1,4,2,5,1,1,1,3,5,5,5,5,1,3,2,3,2,4,1,5,5,4,28,1,,0,6,6,5,176
4/16/2019 13:29,4/16/2019 13:42,0,92.20.144.233,100,765,1,4/16/2019 13:42,R_3n78iLhu7mdc4cS,,,,,55.94999695,-3.199996948,anonymous,EN,58e51a0a5bd3260001c8611a,,7,7,1,2,6,1,4,1,1,1,1,1,1,1,1,2,1,1,1,7,1,6,7,1,1,1,7,5,2,6,1,1,2,1,1,3,1,1,4,2,5,5,,3,5,4,4,4,2,2,2,2,2,4,2,4,4,4,5,4,2,2,3,5,5,5,5,1,5,1,3,4,1,1,4,1,4,5,1,1,5,5,2,1,2,2,4,5,2,2,1,5,5,1,5,5,4,5,4,4,4,2,1,1,5,5,3,2,1,3,1,1,5,4,3,4,2,1,1,4,3,4,4,2,2,1,4,3,1,1,1,1,2,5,1,1,5,1,5,1,4,1,6,3,4,4,6,1,2,1,1,2,2,5,5,4,4,35,1,,0,6,1,5,176
4/16/2019 13:28,4/16/2019 13:43,0,104.139.73.157,100,907,1,4/16/2019 13:43,R_wMFBQ5Vcl8bjUK5,,,,,35.08920288,-80.81939697,anonymous,EN,5be7797f28babc0001f0dcbc,,6,2,3,5,2,6,6,1,1,2,1,6,2,6,2,5,1,1,1,7,2,7,6,1,1,5,7,2,6,5,2,6,4,2,4,1,1,2,4,3,4,2,1,1,2,1,4,2,3,2,4,5,4,4,3,3,4,3,2,2,4,3,4,5,5,5,4,1,2,4,5,2,1,1,3,1,4,4,3,2,4,4,1,4,2,3,4,5,5,5,3,4,5,1,5,5,5,2,2,1,5,4,4,2,4,3,4,5,5,5,5,3,4,3,4,5,2,3,4,2,5,4,5,3,2,1,4,4,,2,5,1,4,5,4,1,1,4,5,3,2,1,5,4,2,1,5,1,2,1,4,4,4,1,4,4,5,19,2,,1,2,6,1,177
4/16/2019 13:32,4/16/2019 13:43,0,47.205.15.214,100,626,1,4/16/2019 13:43,R_1mkGsbJ8Q7430tT,,,,,28.05079651,-82.4484024,anonymous,EN,5c7c441a4da3e60001b66871,,6,2,1,2,5,1,6,1,1,2,1,1,1,1,6,6,1,1,4,7,1,4,2,1,4,4,7,2,7,6,2,5,4,1,1,2,1,1,4,2,5,5,4,3,5,5,5,5,2,4,2,4,1,1,1,5,2,1,1,1,3,2,2,1,5,5,4,1,5,1,5,5,5,4,5,1,2,2,2,1,3,4,1,1,3,3,4,5,2,3,5,1,4,1,3,4,2,1,1,1,5,1,4,5,3,4,2,4,3,4,4,4,3,2,5,5,5,1,1,4,4,2,4,4,4,1,2,1,5,2,1,1,2,4,4,1,2,2,5,2,5,4,5,5,6,6,6,1,2,1,2,2,2,3,5,4,5,28,1,,0,5,2,3,176
4/16/2019 13:36,4/16/2019 13:47,0,82.21.85.93,100,639,1,4/16/2019 13:47,R_28JbIMXxMeNHeRo,,,,,52.22279358,0.130493164,anonymous,EN,5b9034f37afa2a0001f72905,,7,2,1,1,1,1,3,1,1,1,2,1,4,1,6,6,1,1,6,7,1,3,5,7,1,7,7,7,6,5,4,1,2,2,2,1,1,1,2,2,5,5,4,4,4,4,4,4,1,1,1,2,2,2,1,4,3,3,2,2,2,4,4,4,5,5,5,1,4,2,3,3,1,1,3,2,2,2,1,1,4,4,3,3,2,2,4,4,3,3,1,5,4,2,5,5,2,4,2,2,4,1,3,3,3,3,3,4,2,4,1,5,4,2,4,5,1,1,1,3,3,3,4,3,3,1,1,1,4,2,1,1,1,4,4,1,4,1,5,1,3,1,4,1,1,1,1,2,2,2,2,5,3,2,4,4,4,28,"1,2",,0,3,1,5,175
4/18/2019 8:13,4/18/2019 8:15,0,174.73.124.62,100,84,1,4/18/2019 8:15,R_3fK23IgMlKgGmFw,,,,,30.36079407,-91.09169769,anonymous,EN,test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,5,,,,,,,,
4/18/2019 8:28,4/18/2019 8:39,0,155.70.39.45,100,631,1,4/18/2019 8:39,R_3qED0TEYDM6LMwz,,,,,39.73880005,-104.9868011,anonymous,EN,5aeb0423d629ee0001b5896b,,7,1,1,2,1,1,6,1,4,1,1,2,1,1,2,1,1,2,1,7,1,5,6,2,1,4,7,3,6,6,5,2,4,3,2,4,3,2,3,3,5,3,4,3,3,3,4,2,4,4,4,4,1,2,2,5,4,4,3,3,4,4,3,3,4,3,5,1,2,4,3,3,3,3,4,3,1,1,1,2,3,3,4,3,3,3,3,4,4,4,4,3,4,2,5,5,4,2,2,2,5,1,5,4,2,4,3,4,3,4,3,3,2,3,4,3,4,3,1,3,3,2,4,5,2,1,3,3,4,4,2,2,4,4,4,2,2,3,3,2,2,2,5,4,3,4,4,3,3,3,3,2,4,5,4,2,3,45,1,,1,5,1,6,180
4/18/2019 8:33,4/18/2019 8:43,0,82.8.172.83,100,602,1,4/18/2019 8:43,R_3PMnCvV1RsA7Mg0,,,,,53.49789429,-2.708099365,anonymous,EN,5bd8327fbeca730001cefa84,,5,2,3,5,1,3,4,2,3,3,2,2,1,3,3,3,3,4,2,7,1,5,3,4,2,3,7,4,2,4,3,3,2,2,2,2,2,2,2,2,5,4,2,2,4,4,4,3,3,4,3,3,2,2,1,4,2,2,2,2,2,2,4,3,4,4,3,3,3,4,4,4,2,2,4,2,2,4,2,2,4,4,1,2,2,2,4,4,3,3,2,4,4,2,4,4,3,2,2,2,4,2,4,3,4,4,2,4,3,4,2,4,4,2,4,3,2,2,2,3,4,3,4,2,2,1,2,2,4,2,2,2,3,4,2,1,3,2,5,2,3,2,4,3,3,5,4,2,2,2,2,3,2,4,4,4,4,36,1,,1,6,1,4,177
4/18/2019 8:47,4/18/2019 8:59,0,94.9.182.105,100,740,1,4/18/2019 8:59,R_1eCRunLtbY92j75,,,,,52.58740234,-2.138000488,anonymous,EN,59789a06bedf280001dc27df,,7,5,1,1,3,4,4,1,4,1,1,1,4,1,4,1,1,1,1,7,1,5,5,4,1,1,7,3,6,6,1,5,3,3,3,4,2,3,3,2,5,5,5,5,5,5,4,4,3,2,3,3,3,3,2,3,3,2,2,2,3,3,4,3,4,5,4,1,3,2,3,3,4,3,1,1,3,3,2,2,5,5,2,3,1,2,3,3,3,3,3,3,4,3,3,2,3,4,3,4,3,3,2,4,4,5,2,2,3,3,4,3,4,3,5,5,3,3,2,1,5,3,5,4,2,1,2,3,4,3,2,1,3,5,5,1,1,3,5,2,3,1,5,2,2,1,2,3,3,2,3,3,3,5,3,3,3,29,1,,0,3,4,1,175
4/18/2019 8:53,4/18/2019 9:01,0,62.231.144.30,100,485,1,4/18/2019 9:01,R_CaF2keKj7fcFKAp,,,,,51.52029419,-0.726303101,anonymous,EN,5b0fecfe1e55760001b9b9eb,,7,7,1,1,3,1,5,1,4,1,1,1,1,1,4,4,1,1,1,7,1,3,5,1,1,1,7,2,5,5,1,1,3,1,1,1,1,1,1,1,5,4,3,3,4,4,4,4,2,2,4,4,3,3,1,4,2,2,2,2,2,2,3,2,2,3,3,3,4,2,4,4,3,3,3,1,3,3,1,1,4,4,2,2,1,1,3,3,4,4,1,5,4,2,4,3,3,3,1,2,4,2,3,4,3,4,2,3,3,4,4,3,3,2,4,5,3,1,1,4,4,3,4,2,1,1,1,1,5,1,3,1,3,4,2,1,1,3,5,2,2,1,3,1,1,1,1,1,2,1,2,3,1,5,5,5,5,34,1,,0,2,1,5,176
4/18/2019 8:48,4/18/2019 9:02,0,89.238.139.55,100,793,1,4/18/2019 9:02,R_27HiBK5tiqbS2VW,,,,,52.51579285,-1.901702881,anonymous,EN,5af33167dd84460001c1dfcf,,6,6,2,6,5,3,5,7,1,1,2,7,5,2,1,1,1,6,5,7,1,6,6,5,5,6,7,5,5,6,1,1,3,3,3,2,3,4,3,3,4,2,1,1,3,2,4,2,3,4,4,4,2,3,2,3,4,4,3,3,4,4,4,4,4,4,5,1,3,4,3,3,2,2,4,1,3,4,1,2,4,4,2,2,4,4,4,4,4,4,4,2,4,1,4,4,4,4,2,2,4,2,4,4,4,4,2,2,3,3,3,2,4,4,4,2,4,3,3,3,3,3,3,3,3,1,2,2,3,4,2,1,4,3,3,3,3,3,5,1,2,1,4,3,3,4,4,2,3,2,2,3,4,1,1,4,4,35,1,,1,7,3,1,180
4/18/2019 8:51,4/18/2019 9:03,0,81.110.48.175,100,717,1,4/18/2019 9:03,R_12gaN0hrsw0lQKB,,,,,51.35209656,0.533706665,anonymous,EN,599411693ae1c8000110624c,,6,6,1,6,6,1,5,1,3,1,5,2,5,1,7,1,1,3,6,7,1,6,7,6,4,5,7,7,7,7,1,2,4,3,4,4,4,2,4,4,2,2,4,3,2,2,4,1,2,4,4,3,1,4,1,4,4,3,5,4,4,4,4,4,5,4,4,2,2,3,4,2,2,2,3,1,2,2,1,2,2,4,2,2,3,2,4,4,4,5,3,3,4,1,5,4,4,1,2,1,5,2,2,4,2,2,2,4,2,4,3,1,4,4,4,2,3,1,1,3,4,4,4,2,1,1,2,1,2,3,1,1,3,4,2,1,4,3,4,1,2,1,8,3,4,4,5,1,4,2,4,4,4,2,2,3,2,39,1,,1,5,1,6,181
4/18/2019 8:58,4/18/2019 9:09,0,99.96.67.78,100,694,1,4/18/2019 9:09,R_2UbfrP2eeLeT0gn,,,,,29.77380371,-95.40599823,anonymous,EN,5b91f12ad99ca20001ef6d27,,6,7,5,7,6,1,6,2,2,2,1,1,7,6,7,2,2,3,6,7,1,3,5,2,3,3,7,6,2,2,1,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,5,4,3,4,3,3,4,4,3,4,3,4,2,2,4,4,4,4,4,4,4,2,4,3,3,3,4,4,2,2,4,4,2,2,4,4,3,4,3,4,2,3,4,4,1,5,4,1,5,5,5,4,4,4,4,3,3,4,3,2,3,4,4,5,4,2,3,4,2,4,3,3,1,2,4,3,3,3,2,1,3,3,2,4,3,2,3,4,5,2,2,3,4,2,2,1,8,4,5,6,6,4,5,4,4,4,5,1,5,2,2,28,1,,1,5,1,5,180
4/18/2019 9:05,4/18/2019 9:15,0,89.64.37.21,100,596,1,4/18/2019 9:15,R_tS4AvTPXvuFuyA1,,,,,50.29629517,18.82069397,anonymous,EN,5b4f776490523a0001d0acba,,5,7,2,4,2,1,5,1,1,1,3,3,2,1,1,4,1,4,1,7,1,7,5,2,4,4,7,2,4,3,1,2,2,1,3,1,1,1,4,2,4,3,3,3,4,3,4,3,3,4,3,3,3,4,4,3,2,1,4,4,4,4,4,4,4,4,4,2,4,2,4,3,3,2,3,4,4,3,1,1,4,4,1,3,3,2,4,4,4,4,3,3,5,2,5,4,4,4,3,3,3,2,4,4,3,5,2,2,2,4,1,3,2,1,4,2,3,2,1,3,4,4,3,4,1,1,3,1,3,3,3,1,3,4,3,2,3,1,5,1,3,1,5,5,5,5,5,3,3,3,2,3,4,4,4,4,4,21,1,,1,3,2,5,175
